time                          relative_error                
0.000000000000000e+00         0.000000000000000e+00         
3.125000000000000e-03         1.134365208045218e-05         
6.250000000000000e-03         2.268687696616560e-05         
9.375000000000001e-03         3.402896044409140e-05         
1.250000000000000e-02         4.536918883910597e-05         
1.562500000000000e-02         5.670684930008506e-05         
1.875000000000000e-02         6.804123008543475e-05         
2.187500000000000e-02         7.937162084697523e-05         
2.500000000000000e-02         9.069731291456564e-05         
2.812500000000000e-02         1.020175995763079e-04         
3.125000000000000e-02         1.133317763602754e-04         
3.437500000000000e-02         1.246391413109185e-04         
3.750000000000001e-02         1.359389952663420e-04         
4.062500000000000e-02         1.472306421314549e-04         
4.375000000000000e-02         1.585133891485176e-04         
4.687500000000000e-02         1.697865471650833e-04         
5.000000000000000e-02         1.810494308991761e-04         
5.312500000000001e-02         1.923013592005931e-04         
5.625000000000000e-02         2.035416553083226e-04         
5.937500000000000e-02         2.147696471058474e-04         
6.250000000000000e-02         2.259846673701626e-04         
6.562500000000000e-02         2.371860540189139e-04         
6.875000000000001e-02         2.483731503511234e-04         
7.187500000000001e-02         2.595453052850687e-04         
7.500000000000001e-02         2.707018735911504e-04         
7.812500000000000e-02         2.818422161176832e-04         
8.125000000000000e-02         2.929657000165540e-04         
8.437500000000001e-02         3.040716989575732e-04         
8.750000000000001e-02         3.151595933427088e-04         
9.062500000000001e-02         3.262287705112743e-04         
9.375000000000000e-02         3.372786249426565e-04         
9.687500000000000e-02         3.483085584499249e-04         
1.000000000000000e-01         3.593179803702788e-04         
1.031250000000000e-01         3.703063077477043e-04         
1.062500000000000e-01         3.812729655119091e-04         
1.093750000000000e-01         3.922173866485139e-04         
1.125000000000000e-01         4.031390123637279e-04         
1.156250000000000e-01         4.140372922447633e-04         
1.187500000000000e-01         4.249116844107946e-04         
1.218750000000000e-01         4.357616556600913e-04         
1.250000000000000e-01         4.465866816080268e-04         
1.281250000000000e-01         4.573862468223502e-04         
1.312500000000000e-01         4.681598449479955e-04         
1.343750000000000e-01         4.789069788267084e-04         
1.375000000000000e-01         4.896271606124482e-04         
1.406250000000000e-01         5.003199118753896e-04         
1.437500000000000e-01         5.109847637044256e-04         
1.468750000000000e-01         5.216212567994649e-04         
1.500000000000000e-01         5.322289415579306e-04         
1.531250000000000e-01         5.428073781565115e-04         
1.562500000000000e-01         5.533561366239585e-04         
1.593750000000000e-01         5.638747969080975e-04         
1.625000000000000e-01         5.743629489377862e-04         
1.656250000000000e-01         5.848201926770885e-04         
1.687500000000000e-01         5.952461381721027e-04         
1.718750000000000e-01         6.056404055942276e-04         
1.750000000000000e-01         6.160026252746477e-04         
1.781250000000000e-01         6.263324377348581e-04         
1.812500000000000e-01         6.366294937080356e-04         
1.843750000000000e-01         6.468934541584187e-04         
1.875000000000000e-01         6.571239902908956e-04         
1.906250000000000e-01         6.673207835576954e-04         
1.937500000000000e-01         6.774835256571419e-04         
1.968750000000000e-01         6.876119185294189e-04         
2.000000000000000e-01         6.977056743424305e-04         
2.031250000000000e-01         7.077645154780379e-04         
2.062500000000000e-01         7.177881745082318e-04         
2.093750000000000e-01         7.277763941677140e-04         
2.125000000000000e-01         7.377289273226103e-04         
2.156250000000000e-01         7.476455369316545e-04         
2.187500000000000e-01         7.575259960059265e-04         
2.218750000000000e-01         7.673700875605455e-04         
2.250000000000000e-01         7.771776045636105e-04         
2.281250000000000e-01         7.869483498811637e-04         
2.312500000000000e-01         7.966821362156420e-04         
2.343750000000000e-01         8.063787860429396e-04         
2.375000000000000e-01         8.160381315437231e-04         
2.406250000000000e-01         8.256600145303709e-04         
2.437500000000000e-01         8.352442863724833e-04         
2.468750000000000e-01         8.447908079157184e-04         
2.500000000000000e-01         8.542994494002299e-04         
2.531250000000000e-01         8.637700903732204e-04         
2.562500000000000e-01         8.732026195995192e-04         
2.593750000000000e-01         8.825969349692955e-04         
2.625000000000000e-01         8.919529434022555e-04         
2.656250000000000e-01         9.012705607488775e-04         
2.687500000000000e-01         9.105497116903911e-04         
2.718750000000000e-01         9.197903296336613e-04         
2.750000000000000e-01         9.289923566070373e-04         
2.781250000000000e-01         9.381557431505823e-04         
2.812500000000000e-01         9.472804482070548e-04         
2.843750000000000e-01         9.563664390085038e-04         
2.875000000000000e-01         9.654136909627763e-04         
2.906250000000000e-01         9.744221875381540e-04         
2.937500000000000e-01         9.833919201448695e-04         
2.968750000000000e-01         9.923228880160204e-04         
3.000000000000000e-01         1.001215098088725e-03         
3.031250000000000e-01         1.010068564881139e-03         
3.062500000000000e-01         1.018883310370276e-03         
3.093750000000000e-01         1.027659363869189e-03         
3.125000000000000e-01         1.036396761900710e-03         
3.156250000000000e-01         1.045095548073485e-03         
3.187500000000000e-01         1.053755772955566e-03         
3.218750000000000e-01         1.062377493947722e-03         
3.250000000000000e-01         1.070960775156310e-03         
3.281250000000000e-01         1.079505687266919e-03         
3.312500000000000e-01         1.088012307414664e-03         
3.343750000000000e-01         1.096480719058225e-03         
3.375000000000000e-01         1.104911011851533e-03         
3.406250000000000e-01         1.113303281515186e-03         
3.437500000000000e-01         1.121657629709154e-03         
3.468750000000000e-01         1.129974163904972e-03         
3.500000000000000e-01         1.138252997259126e-03         
3.531250000000000e-01         1.146494248484838e-03         
3.562500000000000e-01         1.154698041726117e-03         
3.593750000000000e-01         1.162864506432188e-03         
3.625000000000000e-01         1.170993777230716e-03         
3.656250000000000e-01         1.179085993804388e-03         
3.687500000000000e-01         1.187141300765159e-03         
3.718750000000000e-01         1.195159847532084e-03         
3.750000000000000e-01         1.203141788207882e-03         
3.781250000000000e-01         1.211087281457826e-03         
3.812500000000000e-01         1.218996490388203e-03         
3.843750000000000e-01         1.226869582427320e-03         
3.875000000000000e-01         1.234706729205891e-03         
3.906250000000000e-01         1.242508106439548e-03         
3.937500000000000e-01         1.250273893812710e-03         
3.968750000000000e-01         1.258004274862647e-03         
4.000000000000000e-01         1.265699436865251e-03         
4.031250000000000e-01         1.273359570721839e-03         
4.062500000000000e-01         1.280984870848215e-03         
4.093750000000000e-01         1.288575535063663e-03         
4.125000000000000e-01         1.296131764481723e-03         
4.156250000000000e-01         1.303653763402699e-03         
4.187500000000000e-01         1.311141739207755e-03         
