time                          relative_error                
0.000000000000000e+00         0.000000000000000e+00         
1.250000000000000e-02         1.814658183279509e-04         
2.500000000000000e-02         3.628224917787265e-04         
3.750000000000001e-02         5.438884141206166e-04         
5.000000000000000e-02         7.244841581211315e-04         
6.250000000000000e-02         9.044336001784852e-04         
7.500000000000001e-02         1.083564998801507e-03         
8.750000000000001e-02         1.261712012869380e-03         
1.000000000000000e-01         1.438714647066817e-03         
1.125000000000000e-01         1.614420113615034e-03         
1.250000000000000e-01         1.788683601351415e-03         
1.375000000000000e-01         1.961368945276072e-03         
1.500000000000000e-01         2.132349191810674e-03         
1.625000000000000e-01         2.301507057150125e-03         
1.750000000000000e-01         2.468735278138303e-03         
1.875000000000000e-01         2.633936857048749e-03         
2.000000000000000e-01         2.797025203418642e-03         
2.125000000000000e-01         2.957924177649535e-03         
2.250000000000000e-01         3.116568042414808e-03         
2.375000000000000e-01         3.272901329009926e-03         
2.500000000000000e-01         3.426878626592704e-03         
2.625000000000000e-01         3.578464302858158e-03         
2.750000000000000e-01         3.727632165016377e-03         
2.875000000000000e-01         3.874365070072229e-03         
3.000000000000000e-01         4.018654493319486e-03         
3.125000000000000e-01         4.160500063711747e-03         
3.250000000000000e-01         4.299909074384583e-03         
3.375000000000000e-01         4.436895976079857e-03         
3.500000000000000e-01         4.571481860636610e-03         
3.625000000000000e-01         4.703693941049983e-03         
3.750000000000000e-01         4.833565033901062e-03         
3.875000000000000e-01         4.961133049250380e-03         
4.000000000000000e-01         5.086440492382361e-03         
4.125000000000000e-01         5.209533981092326e-03         
4.250000000000000e-01         5.330463781551192e-03         
4.375000000000000e-01         5.449283365164702e-03         
4.500000000000000e-01         5.566048988268695e-03         
4.625000000000000e-01         5.680819295986934e-03         
4.750000000000000e-01         5.793654951106026e-03         
4.875000000000000e-01         5.904618288415805e-03         
5.000000000000000e-01         6.013772994601591e-03         
5.125000000000001e-01         6.121183813473043e-03         
5.250000000000000e-01         6.226916276053773e-03         
5.375000000000000e-01         6.331036454848845e-03         
5.500000000000000e-01         6.433610741436209e-03         
5.625000000000000e-01         6.534705646395484e-03         
5.750000000000001e-01         6.634387620494647e-03         
5.875000000000000e-01         6.732722895982601e-03         
6.000000000000001e-01         6.829777346795961e-03         
6.125000000000000e-01         6.925616366468297e-03         
6.250000000000000e-01         7.020304762527626e-03         
6.375000000000001e-01         7.113906666183390e-03         
6.500000000000000e-01         7.206485456128409e-03         
6.625000000000001e-01         7.298103695320662e-03         
6.750000000000000e-01         7.388823079651358e-03         
6.875000000000000e-01         7.478704397457296e-03         
7.000000000000001e-01         7.567807498889121e-03         
7.125000000000000e-01         7.656191274203496e-03         
7.250000000000001e-01         7.743913640105961e-03         
7.375000000000000e-01         7.831031533328042e-03         
7.500000000000000e-01         7.917600910682852e-03         
7.625000000000001e-01         8.003676754896690e-03         
7.750000000000000e-01         8.089313085573077e-03         
7.875000000000001e-01         8.174562974695590e-03         
8.000000000000000e-01         8.259478566128348e-03         
8.125000000000000e-01         8.344111098621685e-03         
8.250000000000001e-01         8.428510931873566e-03         
8.375000000000000e-01         8.512727575244272e-03         
8.500000000000001e-01         8.596809718757072e-03         
8.625000000000000e-01         8.680805266059742e-03         
8.750000000000000e-01         8.764761369051886e-03         
8.875000000000001e-01         8.848724463919820e-03         
9.000000000000000e-01         8.932740308345847e-03         
9.125000000000001e-01         9.016854019689418e-03         
9.250000000000000e-01         9.101110113960935e-03         
9.375000000000000e-01         9.185552545431540e-03         
9.500000000000001e-01         9.270224746744595e-03         
9.625000000000000e-01         9.355169669413159e-03         
9.750000000000001e-01         9.440429824601991e-03         
9.875000000000000e-01         9.526047324115111e-03         
1.000000000000000e+00         9.612063921515241e-03         
1.012500000000000e+00         9.698521053323146e-03         
1.025000000000000e+00         9.785459880249358e-03         
1.037500000000000e+00         9.872921328425922e-03         
1.050000000000000e+00         9.960946130612745e-03         
1.062500000000000e+00         1.004957486736223e-02         
1.075000000000000e+00         1.013884800813389e-02         
1.087500000000000e+00         1.022880595235836e-02         
1.100000000000000e+00         1.031948907045122e-02         
1.112500000000000e+00         1.041093774479243e-02         
1.125000000000000e+00         1.050319241067989e-02         
1.137500000000000e+00         1.059629359728076e-02         
1.150000000000000e+00         1.069028196860171e-02         
1.162500000000000e+00         1.078519836450497e-02         
1.175000000000000e+00         1.088108384179773e-02         
1.187500000000000e+00         1.097797971543324e-02         
1.200000000000000e+00         1.107592759985138e-02         
1.212500000000000e+00         1.117496945050016e-02         
1.225000000000000e+00         1.127514760557690e-02         
1.237500000000000e+00         1.137650482802958e-02         
1.250000000000000e+00         1.147908434786098e-02         
1.262500000000000e+00         1.158292990477805e-02         
1.275000000000000e+00         1.168808579123572e-02         
1.287500000000000e+00         1.179459689591786e-02         
1.300000000000000e+00         1.190250874770445e-02         
1.312500000000000e+00         1.201186756017115e-02         
1.325000000000000e+00         1.212272027667457e-02         
1.337500000000000e+00         1.223511461606695e-02         
1.350000000000000e+00         1.234909911909496e-02         
1.362500000000000e+00         1.246472319553081e-02         
1.375000000000000e+00         1.258203717208614e-02         
1.387500000000000e+00         1.270109234116012e-02         
1.400000000000000e+00         1.282194101047160e-02         
1.412500000000000e+00         1.294463655362726e-02         
1.425000000000000e+00         1.306923346167232e-02         
1.437500000000000e+00         1.319578739567695e-02         
1.450000000000000e+00         1.332435524040552e-02         
1.462500000000000e+00         1.345499515911342e-02         
1.475000000000000e+00         1.358776664952359e-02         
1.487500000000000e+00         1.372273060101959e-02         
1.500000000000000e+00         1.385994935310435e-02         
1.512500000000000e+00         1.399948675515935e-02         
1.525000000000000e+00         1.414140822754470e-02         
1.537500000000000e+00         1.428578082407131e-02         
1.550000000000000e+00         1.443267329587491e-02         
1.562500000000000e+00         1.458215615671822e-02         
1.575000000000000e+00         1.473430174973724e-02         
1.587500000000000e+00         1.488918431564811e-02         
1.600000000000000e+00         1.504688006241728e-02         
1.612500000000000e+00         1.520746723639168e-02         
1.625000000000000e+00         1.537102619488023e-02         
1.637500000000000e+00         1.553763948015721e-02         
1.650000000000000e+00         1.570739189485588e-02         
1.662500000000000e+00         1.588037057869917e-02         
1.675000000000000e+00         1.605666508650072e-02         
1.687500000000000e+00         1.623636746735287e-02         
1.700000000000000e+00         1.641957234489076e-02         
1.712500000000000e+00         1.660637699850795e-02         
1.725000000000000e+00         1.679688144536089e-02         
1.737500000000000e+00         1.699118852297941e-02         
1.750000000000000e+00         1.718940397225826e-02         
1.762500000000000e+00         1.739163652057276e-02         
1.775000000000000e+00         1.759799796471300e-02         
1.787500000000000e+00         1.780860325328658e-02         
1.800000000000000e+00         1.802357056818205e-02         
1.812500000000000e+00         1.824302140462658e-02         
1.825000000000000e+00         1.846708064930159e-02         
1.837500000000000e+00         1.869587665590337e-02         
1.850000000000000e+00         1.892954131744932e-02         
1.862500000000000e+00         1.916821013453679e-02         
1.875000000000000e+00         1.941202227865040e-02         
1.887500000000000e+00         1.966112064949876e-02         
1.900000000000000e+00         1.991565192522423e-02         
1.912500000000000e+00         2.017576660418525e-02         
1.925000000000000e+00         2.044161903684127e-02         
1.937500000000000e+00         2.071336744609215e-02         
1.950000000000000e+00         2.099117393421799e-02         
1.962500000000000e+00         2.127520447434166e-02         
1.975000000000000e+00         2.156562888408567e-02         
1.987500000000000e+00         2.186262077882548e-02         
2.000000000000000e+00         2.216635750163208e-02         
2.012500000000000e+00         2.247702002666779e-02         
2.025000000000000e+00         2.279479283243196e-02         
2.037500000000000e+00         2.311986374085350e-02         
2.050000000000000e+00         2.345242371778403e-02         
2.062500000000000e+00         2.379266662997582e-02         
2.075000000000000e+00         2.414078895310027e-02         
2.087500000000000e+00         2.449698942480755e-02         
2.100000000000000e+00         2.486146863621731e-02         
2.112500000000000e+00         2.523442855457972e-02         
2.125000000000000e+00         2.561607196915410e-02         
2.137500000000000e+00         2.600660185160966e-02         
2.150000000000000e+00         2.640622062147736e-02         
2.162500000000000e+00         2.681512930637226e-02         
2.175000000000000e+00         2.723352658586208e-02         
2.187500000000000e+00         2.766160770700309e-02         
2.200000000000000e+00         2.809956325870502e-02         
2.212500000000000e+00         2.854757779124033e-02         
2.225000000000000e+00         2.900582826640677e-02         
2.237500000000000e+00         2.947448232311105e-02         
2.250000000000000e+00         2.995369634250842e-02         
2.262500000000000e+00         3.044361329634451e-02         
2.275000000000000e+00         3.094436036186315e-02         
2.287500000000000e+00         3.145604628663366e-02         
2.300000000000000e+00         3.197875848698607e-02         
2.312500000000000e+00         3.251255986451739e-02         
2.325000000000000e+00         3.305748532645358e-02         
2.337500000000000e+00         3.361353799764104e-02         
2.350000000000000e+00         3.418068511473463e-02         
2.362500000000000e+00         3.475885359689453e-02         
2.375000000000000e+00         3.534792529217449e-02         
2.387500000000000e+00         3.594773190494159e-02         
2.400000000000000e+00         3.655804961730419e-02         
2.412500000000000e+00         3.717859342680310e-02         
2.425000000000000e+00         3.780901123371157e-02         
2.437500000000000e+00         3.844887772433197e-02         
2.450000000000000e+00         3.909768811175052e-02         
2.462500000000000e+00         3.975485181265587e-02         
2.475000000000000e+00         4.041968615797010e-02         
2.487500000000000e+00         4.109141025600091e-02         
2.500000000000000e+00         4.176913914926297e-02         
2.512500000000000e+00         4.245187842950142e-02         
2.525000000000000e+00         4.313851949905560e-02         
2.537500000000000e+00         4.382783568951713e-02         
2.550000000000000e+00         4.451847946941086e-02         
2.562500000000000e+00         4.520898098984093e-02         
2.575000000000000e+00         4.589774822889758e-02         
2.587500000000000e+00         4.658306900014074e-02         
2.600000000000000e+00         4.726311508554219e-02         
2.612500000000000e+00         4.793594873675393e-02         
2.625000000000000e+00         4.859953175851859e-02         
2.637500000000000e+00         4.925173734284599e-02         
2.650000000000000e+00         4.989036476123304e-02         
2.662500000000000e+00         5.051315694454768e-02         
2.675000000000000e+00         5.111782088715006e-02         
2.687500000000000e+00         5.170205070560250e-02         
2.700000000000000e+00         5.226355306653406e-02         
2.712500000000000e+00         5.280007457795699e-02         
2.725000000000000e+00         5.330943061986624e-02         
2.737500000000000e+00         5.378953498069586e-02         
2.750000000000000e+00         5.423842957390498e-02         
2.762500000000000e+00         5.465431344145821e-02         
2.775000000000000e+00         5.503557021509284e-02         
2.787500000000000e+00         5.538079320743326e-02         
2.800000000000000e+00         5.568880734630102e-02         
2.812500000000000e+00         5.595868724732924e-02         
2.825000000000000e+00         5.618977083954179e-02         
2.837500000000000e+00         5.638166811017668e-02         
2.850000000000000e+00         5.653426471043500e-02         
2.862500000000000e+00         5.664772035267168e-02         
2.875000000000000e+00         5.672246212045801e-02         
2.887500000000000e+00         5.675917299446936e-02         
2.900000000000000e+00         5.675877605880768e-02         
2.912500000000000e+00         5.672241498546524e-02         
2.925000000000000e+00         5.665143149305230e-02         
2.937500000000000e+00         5.654734053630389e-02         
2.950000000000000e+00         5.641180400489507e-02         
2.962500000000000e+00         5.624660369598865e-02         
