time                          x                             y                             z                             
0.000000000000000e+00         2.000007934658887e+01         3.906240433583424e-02         1.999998824493820e+01         
1.562500000000000e-03         2.000031738532254e+01         7.812423468853234e-02         1.999995297976661e+01         
3.125000000000000e-03         2.000071411310229e+01         1.171849170823917e-01         1.999989420452668e+01         
4.687500000000001e-03         2.000126952476359e+01         1.562438775565765e-01         1.999981191928752e+01         
6.250000000000000e-03         2.000198361307618e+01         1.953005421725513e-01         1.999970612414583e+01         
7.812500000000000e-03         2.000285636874423e+01         2.343543370215137e-01         1.999957681922600e+01         
9.375000000000000e-03         2.000388778040634e+01         2.734046882318268e-01         1.999942400468001e+01         
1.093750000000000e-02         2.000507783463582e+01         3.124510219764517e-01         1.999924768068750e+01         
1.250000000000000e-02         2.000642651594075e+01         3.514927644803785e-01         1.999904784745575e+01         
1.406250000000000e-02         2.000793380676425e+01         3.905293420280573e-01         1.999882450521964e+01         
1.562500000000000e-02         2.000959968748469e+01         4.295601809708285e-01         1.999857765424174e+01         
1.718750000000000e-02         2.001142413641593e+01         4.685847077343517e-01         1.999830729481220e+01         
1.875000000000000e-02         2.001340712980761e+01         5.076023488260338e-01         1.999801342724884e+01         
2.031250000000000e-02         2.001554864184548e+01         5.466125308424568e-01         1.999769605189711e+01         
2.187500000000000e-02         2.001784864465170e+01         5.856146804768029e-01         1.999735516913007e+01         
2.343750000000000e-02         2.002030710828519e+01         6.246082245262800e-01         1.999699077934845e+01         
2.500000000000000e-02         2.002292400074209e+01         6.635925898995447e-01         1.999660288298058e+01         
2.656250000000001e-02         2.002569928795608e+01         7.025672036241246e-01         1.999619148048243e+01         
2.812500000000001e-02         2.002863293379891e+01         7.415314928538383e-01         1.999575657233761e+01         
2.968750000000001e-02         2.003172490008078e+01         7.804848848762148e-01         1.999529815905737e+01         
3.125000000000001e-02         2.003497514655092e+01         8.194268071199098e-01         1.999481624118056e+01         
3.281250000000001e-02         2.003838363089805e+01         8.583566871621214e-01         1.999431081927369e+01         
3.437500000000001e-02         2.004195030875094e+01         8.972739527360037e-01         1.999378189393087e+01         
3.593750000000001e-02         2.004567513367903e+01         9.361780317380775e-01         1.999322946577388e+01         
3.750000000000001e-02         2.004955805719295e+01         9.750683522356395e-01         1.999265353545208e+01         
3.906250000000001e-02         2.005359902874522e+01         1.013944342474170e+00         1.999205410364249e+01         
4.062500000000002e-02         2.005779799573086e+01         1.052805430884736e+00         1.999143117104975e+01         
4.218750000000002e-02         2.006215490348810e+01         1.091651046091397e+00         1.999078473840611e+01         
4.375000000000002e-02         2.006666969529908e+01         1.130480616918598e+00         1.999011480647146e+01         
4.531250000000002e-02         2.007134231239056e+01         1.169293572398576e+00         1.998942137603332e+01         
4.687500000000002e-02         2.007617269393471e+01         1.208089341778745e+00         1.998870444790680e+01         
4.843750000000002e-02         2.008116077704990e+01         1.246867354529095e+00         1.998796402293467e+01         
5.000000000000002e-02         2.008630649680148e+01         1.285627040349576e+00         1.998720010198731e+01         
5.156250000000002e-02         2.009160978620267e+01         1.324367829177488e+00         1.998641268596269e+01         
5.312500000000003e-02         2.009707057621538e+01         1.363089151194859e+00         1.998560177578644e+01         
5.468750000000003e-02         2.010268879575113e+01         1.401790436835828e+00         1.998476737241179e+01         
5.625000000000003e-02         2.010846437167197e+01         1.440471116794021e+00         1.998390947681958e+01         
5.781250000000003e-02         2.011439722879141e+01         1.479130622029923e+00         1.998302809001827e+01         
5.937500000000003e-02         2.012048728987542e+01         1.517768383778247e+00         1.998212321304394e+01         
6.093750000000003e-02         2.012673447564341e+01         1.556383833555302e+00         1.998119484696028e+01         
6.250000000000003e-02         2.013313870476925e+01         1.594976403166354e+00         1.998024299285859e+01         
6.406250000000002e-02         2.013969989388235e+01         1.633545524712984e+00         1.997926765185777e+01         
6.562500000000002e-02         2.014641795756873e+01         1.672090630600444e+00         1.997826882510436e+01         
6.718750000000001e-02         2.015329280837209e+01         1.710611153545006e+00         1.997724651377247e+01         
6.875000000000001e-02         2.016032435679502e+01         1.749106526581313e+00         1.997620071906383e+01         
7.031250000000000e-02         2.016751251130005e+01         1.787576183069715e+00         1.997513144220779e+01         
7.187499999999999e-02         2.017485717831096e+01         1.826019556703614e+00         1.997403868446129e+01         
7.343749999999999e-02         2.018235826221389e+01         1.864436081516794e+00         1.997292244710887e+01         
7.499999999999998e-02         2.019001566535861e+01         1.902825191890751e+00         1.997178273146268e+01         
7.656249999999998e-02         2.019782928805983e+01         1.941186322562020e+00         1.997061953886245e+01         
7.812499999999997e-02         2.020579902859840e+01         1.979518908629496e+00         1.996943287067553e+01         
7.968749999999997e-02         2.021392478322273e+01         2.017822385561747e+00         1.996822272829686e+01         
8.124999999999996e-02         2.022220644615004e+01         2.056096189204327e+00         1.996698911314896e+01         
8.281249999999996e-02         2.023064390956779e+01         2.094339755787084e+00         1.996573202668195e+01         
8.437499999999995e-02         2.023923706363506e+01         2.132552521931456e+00         1.996445147037355e+01         
8.593749999999994e-02         2.024798579648396e+01         2.170733924657773e+00         1.996314744572907e+01         
8.749999999999994e-02         2.025688999422110e+01         2.208883401392545e+00         1.996181995428138e+01         
8.906249999999993e-02         2.026594954092904e+01         2.247000389975749e+00         1.996046899759097e+01         
9.062499999999993e-02         2.027516431866781e+01         2.285084328668108e+00         1.995909457724589e+01         
9.218749999999992e-02         2.028453420747642e+01         2.323134656158367e+00         1.995769669486178e+01         
9.374999999999992e-02         2.029405908537443e+01         2.361150811570562e+00         1.995627535208186e+01         
9.531249999999991e-02         2.030373882836354e+01         2.399132234471286e+00         1.995483055057693e+01         
9.687499999999991e-02         2.031357331042916e+01         2.437078364876942e+00         1.995336229204536e+01         
9.843749999999990e-02         2.032356240354205e+01         2.474988643261001e+00         1.995187057821310e+01         
9.999999999999989e-02         2.033370597766002e+01         2.512862510561245e+00         1.995035541083367e+01         
1.015624999999999e-01         2.034400390072955e+01         2.550699408187007e+00         1.994881679168815e+01         
1.031249999999999e-01         2.035445603868754e+01         2.588498778026408e+00         1.994725472258520e+01         
1.046874999999999e-01         2.036506225546306e+01         2.626260062453583e+00         1.994566920536105e+01         
1.062499999999999e-01         2.037582241297905e+01         2.663982704335901e+00         1.994406024187948e+01         
1.078124999999999e-01         2.038673637115419e+01         2.701666147041187e+00         1.994242783403183e+01         
1.093749999999999e-01         2.039780398790462e+01         2.739309834444920e+00         1.994077198373701e+01         
1.109374999999999e-01         2.040902511914588e+01         2.776913210937447e+00         1.993909269294149e+01         
1.124999999999999e-01         2.042039961879469e+01         2.814475721431171e+00         1.993738996361927e+01         
1.140624999999998e-01         2.043192733877089e+01         2.851996811367741e+00         1.993566379777194e+01         
1.156249999999998e-01         2.044360812899936e+01         2.889475926725237e+00         1.993391419742860e+01         
1.171874999999998e-01         2.045544183741191e+01         2.926912514025342e+00         1.993214116464593e+01         
1.187499999999998e-01         2.046742830994933e+01         2.964306020340511e+00         1.993034470150813e+01         
1.203124999999998e-01         2.047956739056331e+01         3.001655893301133e+00         1.992852481012696e+01         
1.218749999999998e-01         2.049185892121851e+01         3.038961581102682e+00         1.992668149264171e+01         
1.234374999999998e-01         2.050430274189457e+01         3.076222532512868e+00         1.992481475121922e+01         
1.249999999999998e-01         2.051689869058821e+01         3.113438196878771e+00         1.992292458805384e+01         
1.265624999999998e-01         2.052964660331531e+01         3.150608024133973e+00         1.992101100536748e+01         
1.281249999999998e-01         2.054254631411307e+01         3.187731464805686e+00         1.991907400540957e+01         
1.296874999999998e-01         2.055559765504209e+01         3.224807970021865e+00         1.991711359045705e+01         
1.312499999999998e-01         2.056880045618860e+01         3.261836991518316e+00         1.991512976281442e+01         
1.328124999999998e-01         2.058215454566665e+01         3.298817981645797e+00         1.991312252481367e+01         
1.343749999999998e-01         2.059565974962033e+01         3.335750393377112e+00         1.991109187881432e+01         
1.359374999999998e-01         2.060931589222600e+01         3.372633680314195e+00         1.990903782720342e+01         
1.374999999999998e-01         2.062312279569462e+01         3.409467296695184e+00         1.990696037239550e+01         
1.390624999999998e-01         2.063708028027398e+01         3.446250697401493e+00         1.990485951683264e+01         
1.406249999999998e-01         2.065118816425111e+01         3.482983337964867e+00         1.990273526298439e+01         
1.421874999999997e-01         2.066544626395454e+01         3.519664674574438e+00         1.990058761334784e+01         
1.437499999999997e-01         2.067985439375677e+01         3.556294164083766e+00         1.989841657044756e+01         
1.453124999999997e-01         2.069441236607661e+01         3.592871264017872e+00         1.989622213683563e+01         
1.468749999999997e-01         2.070911999138163e+01         3.629395432580266e+00         1.989400431509160e+01         
1.484374999999997e-01         2.072397707819062e+01         3.665866128659961e+00         1.989176310782256e+01         
1.499999999999997e-01         2.073898343307606e+01         3.702282811838485e+00         1.988949851766304e+01         
1.515624999999997e-01         2.075413886066663e+01         3.738644942396875e+00         1.988721054727509e+01         
1.531249999999997e-01         2.076944316364972e+01         3.774951981322670e+00         1.988489919934824e+01         
1.546874999999997e-01         2.078489614277402e+01         3.811203390316890e+00         1.988256447659948e+01         
1.562499999999997e-01         2.080049759685209e+01         3.847398631801010e+00         1.988020638177331e+01         
1.578124999999997e-01         2.081624732276292e+01         3.883537168923921e+00         1.987782491764166e+01         
1.593749999999997e-01         2.083214511545463e+01         3.919618465568880e+00         1.987542008700397e+01         
1.609374999999997e-01         2.084819076794708e+01         3.955641986360457e+00         1.987299189268714e+01         
1.624999999999997e-01         2.086438407133457e+01         3.991607196671468e+00         1.987054033754551e+01         
1.640624999999997e-01         2.088072481478850e+01         4.027513562629897e+00         1.986806542446091e+01         
1.656249999999997e-01         2.089721278556019e+01         4.063360551125812e+00         1.986556715634262e+01         
1.671874999999997e-01         2.091384776898353e+01         4.099147629818267e+00         1.986304553612736e+01         
1.687499999999997e-01         2.093062954847785e+01         4.134874267142202e+00         1.986050056677930e+01         
1.703124999999996e-01         2.094755790555066e+01         4.170539932315318e+00         1.985793225129009e+01         
1.718749999999996e-01         2.096463261980051e+01         4.206144095344960e+00         1.985534059267880e+01         
1.734374999999996e-01         2.098185346891983e+01         4.241686227034978e+00         1.985272559399192e+01         
1.749999999999996e-01         2.099922022869783e+01         4.277165798992577e+00         1.985008725830341e+01         
1.765624999999996e-01         2.101673267302338e+01         4.312582283635166e+00         1.984742558871465e+01         
1.781249999999996e-01         2.103439057388794e+01         4.347935154197187e+00         1.984474058835445e+01         
1.796874999999996e-01         2.105219370138852e+01         4.383223884736938e+00         1.984203226037904e+01         
1.812499999999996e-01         2.107014182373066e+01         4.418447950143385e+00         1.983930060797207e+01         
1.828124999999996e-01         2.108823470723142e+01         4.453606826142962e+00         1.983654563434463e+01         
