time                          relative_error                
0.000000000000000e+00         0.000000000000000e+00         
1.562500000000000e-03         2.835938508238672e-06         
3.125000000000000e-03         5.671850313909422e-06         
4.687500000000001e-03         8.507690764213329e-06         
6.250000000000000e-03         1.134341521347094e-05         
7.812500000000000e-03         1.417897902992198e-05         
9.375000000000001e-03         1.701433759905240e-05         
1.093750000000000e-02         1.984944632771890e-05         
1.250000000000000e-02         2.268426064901359e-05         
1.406250000000000e-02         2.551873602760156e-05         
1.562500000000000e-02         2.835282796278432e-05         
1.718750000000000e-02         3.118649199385471e-05         
1.875000000000000e-02         3.401968370343089e-05         
2.031250000000000e-02         3.685235872378593e-05         
2.187500000000000e-02         3.968447273952268e-05         
2.343750000000000e-02         4.251598149301857e-05         
2.500000000000000e-02         4.534684078797236e-05         
2.656250000000000e-02         4.817700649452545e-05         
2.812500000000000e-02         5.100643455319781e-05         
2.968750000000000e-02         5.383508097979228e-05         
3.125000000000000e-02         5.666290186894761e-05         
3.281250000000000e-02         5.948985339871632e-05         
3.437500000000000e-02         6.231589183554688e-05         
3.593750000000000e-02         6.514097353728675e-05         
3.750000000000001e-02         6.796505495906673e-05         
3.906250000000000e-02         7.078809265571632e-05         
4.062500000000000e-02         7.361004328768903e-05         
4.218750000000000e-02         7.643086362385120e-05         
4.375000000000000e-02         7.925051054693633e-05         
4.531250000000001e-02         8.206894105626755e-05         
4.687500000000000e-02         8.488611227348122e-05         
4.843750000000000e-02         8.770198144508065e-05         
5.000000000000000e-02         9.051650594768093e-05         
5.156250000000000e-02         9.332964329139689e-05         
5.312500000000001e-02         9.614135112438118e-05         
5.468750000000000e-02         9.895158723588811e-05         
5.625000000000000e-02         1.017603095610566e-04         
5.781250000000000e-02         1.045674761849324e-04         
5.937500000000000e-02         1.073730453460966e-04         
6.093750000000001e-02         1.101769754396077e-04         
6.250000000000000e-02         1.129792250225924e-04         
6.406250000000001e-02         1.157797528167276e-04         
6.562500000000000e-02         1.185785177122010e-04         
6.718750000000000e-02         1.213754787721275e-04         
6.875000000000001e-02         1.241705952349388e-04         
7.031250000000000e-02         1.269638265198984e-04         
7.187500000000001e-02         1.297551322287514e-04         
7.343750000000000e-02         1.325444721508058e-04         
7.500000000000001e-02         1.353318062653367e-04         
7.656250000000001e-02         1.381170947455428e-04         
7.812500000000000e-02         1.409002979624666e-04         
7.968750000000001e-02         1.436813764882268e-04         
8.125000000000000e-02         1.464602910981410e-04         
8.281250000000001e-02         1.492370027759782e-04         
8.437500000000001e-02         1.520114727162576e-04         
8.593750000000000e-02         1.547836623268802e-04         
8.750000000000001e-02         1.575535332341729e-04         
8.906250000000000e-02         1.603210472833400e-04         
9.062500000000001e-02         1.630861665448877e-04         
9.218750000000001e-02         1.658488533149022e-04         
