time                          relative_error                
0.000000000000000e+00         0.000000000000000e+00         
3.125000000000000e-03         7.008388297900364e-14         
6.250000000000000e-03         1.401627716169839e-13         
9.375000000000001e-03         2.102349005941976e-13         
1.250000000000000e-02         2.802903368895555e-13         
1.562500000000000e-02         3.503285706758505e-13         
1.875000000000000e-02         4.203528086160510e-13         
2.187500000000000e-02         4.903436966648384e-13         
2.500000000000000e-02         5.603000669103471e-13         
2.812500000000000e-02         6.302163980518100e-13         
3.125000000000000e-02         7.001094868530150e-13         
3.437500000000000e-02         7.699520268299042e-13         
3.750000000000001e-02         8.397439429678080e-13         
4.062500000000000e-02         9.094532418227108e-13         
4.375000000000000e-02         9.791413546568420e-13         
4.687500000000000e-02         1.048753137383191e-12         
5.000000000000000e-02         1.118304328182259e-12         
5.312500000000001e-02         1.187812178545593e-12         
5.625000000000000e-02         1.257208860324159e-12         
5.937500000000000e-02         1.326528521897669e-12         
6.250000000000000e-02         1.395778186168228e-12         
6.562500000000000e-02         1.464944179990051e-12         
6.875000000000001e-02         1.534029331497697e-12         
7.187500000000001e-02         1.602999450168864e-12         
7.500000000000001e-02         1.671890562575912e-12         
7.812500000000000e-02         1.740638096066131e-12         
8.125000000000000e-02         1.809315474101629e-12         
8.437500000000001e-02         1.877888822473957e-12         
8.750000000000001e-02         1.946358110497741e-12         
9.062500000000001e-02         2.014655690297379e-12         
9.375000000000000e-02         2.082839593300094e-12         
9.687500000000000e-02         2.150908793274342e-12         
1.000000000000000e-01         2.218914052732446e-12         
1.031250000000000e-01         2.286706400320561e-12         
1.062500000000000e-01         2.354344310195719e-12         
1.093750000000000e-01         2.421941768970688e-12         
1.125000000000000e-01         2.489327812467638e-12         
1.156250000000000e-01         2.556614742212574e-12         
1.187500000000000e-01         2.623670838038096e-12         
1.218750000000000e-01         2.690678814921441e-12         
1.250000000000000e-01         2.757401666894813e-12         
1.281250000000000e-01         2.824029192137283e-12         
1.312500000000000e-01         2.890579354224505e-12         
1.343750000000000e-01         2.956823333298470e-12         
1.375000000000000e-01         3.023000515967473e-12         
1.406250000000000e-01         3.088917136544076e-12         
1.437500000000000e-01         3.154700712106005e-12         
1.468750000000000e-01         3.220299322066576e-12         
1.500000000000000e-01         3.285721510959757e-12         
1.531250000000000e-01         3.350921205518859e-12         
1.562500000000000e-01         3.416080974109305e-12         
1.593750000000000e-01         3.480939546995441e-12         
1.625000000000000e-01         3.545500633386014e-12         
1.656250000000000e-01         3.610062685808137e-12         
1.687500000000000e-01         3.674302528085300e-12         
1.718750000000000e-01         3.738446584252267e-12         
1.750000000000000e-01         3.802307943480901e-12         
1.781250000000000e-01         3.866054000861782e-12         
1.812500000000000e-01         3.929455528792349e-12         
1.843750000000000e-01         3.992789101557598e-12         
1.875000000000000e-01         4.055785190796089e-12         
1.906250000000000e-01         4.118711352837374e-12         
