Temperature    Energy         Energy2        Magnetization  Magnetization2 Heat Capacity  Susceptibility 
1.8            -1.8266667     3.6533333      0.94           0.92666667     0.39089163     0.095703704    
1.81           -1.8133333     3.6444444      0.94222222     0.92555556     0.43498876     0.083475888    
1.82           -1.8755556     3.7511111      0.95777778     0.94777778     0.281853       0.066900014    
1.83           -1.9066667     3.8133333      0.96666667     0.96           0.21255404     0.055859138    
1.84           -1.8844444     3.7866667      0.95555556     0.95           0.27827954     0.080246914    
1.85           -1.7333333     3.4666667      0.91777778     0.89222222     0.54021589     0.10790524     
1.86           -1.8577778     3.7155556      0.95333333     0.94111111     0.30548882     0.069390681    
1.87           -1.8311111     3.6622222      0.94111111     0.92833333     0.35374683     0.091215422    
1.88           -1.8266667     3.6533333      0.94222222     0.92777778     0.35833208     0.085095876    
1.89           -1.7822222     3.5644444      0.92111111     0.90611111     0.43462209     0.12204324     
1.9            -1.7511111     3.5022222      0.91666667     0.89611111     0.48291645     0.11754386     
1.91           -1.8355556     3.6711111      0.93888889     0.92833333     0.33096342     0.098054424    
1.92           -1.8044444     3.6088889      0.93888889     0.92055556     0.38288752     0.081340021    
1.93           -1.7644444     3.5466667      0.91888889     0.90166667     0.46541112     0.11877695     
1.94           -1.8577778     3.7155556      0.95444444     0.94166667     0.28081335     0.06330406     
1.95           -1.8177778     3.6355556      0.93777778     0.92333333     0.34844392     0.090063944    
1.96           -1.8177778     3.6355556      0.94333333     0.92611111     0.34489744     0.073945578    
1.97           -1.8444444     3.6888889      0.94888889     0.93555556     0.2957186      0.071401893    
1.98           -1.7466667     3.4933333      0.92222222     0.89777778     0.45147321     0.095523133    
1.99           -1.7955556     3.5911111      0.93777778     0.91777778     0.37078999     0.077086668    
2              -1.8533333     3.7066667      0.95666667     0.94166667     0.27182222     0.052911111    
2.01           -1.8044444     3.6088889      0.93555556     0.91888889     0.34936673     0.086815306    
2.02           -1.7733333     3.5466667      0.92222222     0.90444444     0.39403544     0.10683291     
2.03           -1.7555556     3.5111111      0.91222222     0.895          0.41654571     0.12384358     
2.04           -1.76          3.52           0.91777778     0.89888889     0.40599769     0.11092714     
2.05           -1.8266667     3.6533333      0.94111111     0.92722222     0.30136559     0.081038241    
2.06           -1.6755556     3.3688889      0.89222222     0.86611111     0.52917567     0.13602062     
2.07           -1.7511111     3.5022222      0.91           0.89277778     0.40685393     0.12498121     
2.08           -1.8           3.6            0.93111111     0.91555556     0.33284024     0.093437797    
2.09           -1.7466667     3.4933333      0.91555556     0.89444444     0.40520033     0.10756453     
2.1            -1.8133333     3.6266667      0.94           0.92333333     0.3070194      0.07568254     
2.11           -1.7955556     3.6266667      0.92444444     0.91333333     0.36175909     0.11134749     
2.12           -1.7822222     3.5644444      0.93           0.91055556     0.34543289     0.086142558    
2.13           -1.8266667     3.6533333      0.93888889     0.92611111     0.27915292     0.08375355     
2.14           -1.8488889     3.6977778      0.95222222     0.93833333     0.244028       0.059076959    
2.15           -1.7111111     3.4222222      0.90555556     0.88055556     0.42775207     0.11260408     
2.16           -1.7688889     3.5555556      0.93111111     0.90888889     0.36573016     0.077631459    
2.17           -1.7155556     3.4311111      0.89666667     0.87722222     0.4145174      0.13495136     
2.18           -1.7333333     3.4666667      0.91           0.88833333     0.3890432      0.11051988     
2.19           -1.7377778     3.4755556      0.91333333     0.89111111     0.38004541     0.10398782     
2.2            -1.7466667     3.5111111      0.92111111     0.89833333     0.38038567     0.090704826    
2.21           -1.8666667     3.7333333      0.95666667     0.945          0.20383603     0.053916541    
2.22           -1.7155556     3.4311111      0.90222222     0.88           0.39605572     0.11891002     
2.23           -1.7644444     3.5288889      0.92222222     0.90222222     0.33431172     0.092786359    
2.24           -1.6577778     3.3155556      0.88666667     0.85777778     0.45227072     0.12785714     
2.25           -1.6977778     3.3955556      0.89888889     0.87388889     0.40541722     0.11713361     
2.26           -1.7288889     3.4577778      0.91           0.88722222     0.36707729     0.1046411      
2.27           -1.7333333     3.4666667      0.91           0.88833333     0.35880551     0.10613803     
2.28           -1.6266667     3.2711111      0.86666667     0.84111111     0.4809685      0.15789474     
2.29           -1.6444444     3.3066667      0.88444444     0.85444444     0.45954054     0.12611785     
2.3            -1.64          3.28           0.87888889     0.84944444     0.44642722     0.1339109      
2.31           -1.6977778     3.3955556      0.90111111     0.875          0.3846301      0.10908877     
2.32           -1.7511111     3.5022222      0.91666667     0.89611111     0.32389425     0.096264368    
2.33           -1.7466667     3.4933333      0.90888889     0.89111111     0.32602471     0.11164309     
2.34           -1.6533333     3.3422222      0.88222222     0.85666667     0.44467172     0.13393268     
2.35           -1.6622222     3.36           0.88777778     0.86166667     0.43242538     0.1251358      
2.36           -1.6355556     3.2711111      0.87888889     0.84833333     0.42808757     0.12862314     
2.37           -1.6266667     3.2533333      0.88555556     0.84944444     0.43247264     0.11010262     
2.38           -1.7644444     3.5288889      0.92888889     0.90555556     0.29349953     0.071799979    
2.39           -1.6533333     3.3066667      0.88444444     0.85555556     0.40136241     0.12270055     
2.4            -1.5733333     3.1466667      0.85555556     0.82111111     0.46617284     0.14855967     
2.41           -1.6711111     3.3422222      0.88666667     0.86111111     0.37851268     0.12437068     
2.42           -1.6266667     3.2533333      0.87           0.84166667     0.41478648     0.14011019     
2.43           -1.6444444     3.2888889      0.89           0.85611111     0.39607198     0.10536808     
2.44           -1.5822222     3.1822222      0.86777778     0.83055556     0.45605688     0.12707751     
2.45           -1.68          3.3777778      0.89555556     0.86888889     0.37009764     0.1091741      
2.46           -1.6977778     3.3955556      0.89555556     0.87222222     0.33915406     0.11415036     
2.47           -1.6044444     3.2622222      0.86           0.83444444     0.45106804     0.15359424     
2.48           -1.5244444     3.0488889      0.85333333     0.80777778     0.47148675     0.1283871      
2.49           -1.5555556     3.1111111      0.86           0.81888889     0.44603024     0.12737171     
2.5            -1.5733333     3.1644444      0.86666667     0.82777778     0.44100267     0.12266667     
2.51           -1.6533333     3.3066667      0.88222222     0.85444444     0.36390251     0.12132015     
2.52           -1.6444444     3.2888889      0.88444444     0.85333333     0.36828632     0.11284343     
2.53           -1.5733333     3.1466667      0.85777778     0.82222222     0.41949656     0.13666325     
2.54           -1.5155556     3.0488889      0.83888889     0.79944444     0.46622869     0.15072422     
2.55           -1.5511111     3.1022222      0.85222222     0.81388889     0.42831314     0.13742145     
2.56           -1.5644444     3.1466667      0.85888889     0.82166667     0.42674576     0.13121335     
2.57           -1.5911111     3.1822222      0.86333333     0.82944444     0.39400303     0.13089494     
2.58           -1.6266667     3.2711111      0.86777778     0.84166667     0.37561845     0.13740836     
2.59           -1.6133333     3.2266667      0.87555556     0.84111111     0.37198147     0.11507889     
2.6            -1.5022222     3.0044444      0.83444444     0.79277778     0.44246914     0.14843115     
2.61           -1.5066667     3.0133333      0.82555556     0.78944444     0.43645213     0.16536777     
2.62           -1.4844444     2.9866667      0.83111111     0.78777778     0.45632035     0.14814061     
2.63           -1.5111111     3.04           0.83666667     0.79722222     0.43750421     0.1478496      
2.64           -1.4444444     2.9244444      0.80888889     0.76777778     0.48095999     0.17193416     
2.65           -1.5777778     3.1555556      0.85888889     0.82388889     0.37945053     0.13011134     
2.66           -1.52          3.0577778      0.84555556     0.80388889     0.42250991     0.13372134     
2.67           -1.5466667     3.0933333      0.85111111     0.81222222     0.39341585     0.13158367     
2.68           -1.5377778     3.1111111      0.85           0.81166667     0.41565528     0.13308458     
2.69           -1.6           3.2177778      0.87444444     0.83833333     0.363609       0.10956171     
2.7            -1.5688889     3.1377778      0.85888889     0.82166667     0.37111958     0.12440969     
2.71           -1.4755556     2.9688889      0.82666667     0.78333333     0.43116226     0.14753588     
2.72           -1.6311111     3.2622222      0.88888889     0.85222222     0.32531291     0.091321714    
2.73           -1.4844444     2.9866667      0.83222222     0.78833333     0.42028813     0.14027766     
2.74           -1.4711111     2.9777778      0.81555556     0.77777778     0.433486       0.16444805     
2.75           -1.5511111     3.1022222      0.85888889     0.81722222     0.3682785      0.11568305     
2.76           -1.5066667     3.0844444      0.85222222     0.80722222     0.42764125     0.11730363     
2.77           -1.5555556     3.1111111      0.84333333     0.81055556     0.3604155      0.14345768     
2.78           -1.4622222     2.9244444      0.83333333     0.78222222     0.40699271     0.12629896     
2.79           -1.4888889     3.0133333      0.83666667     0.79277778     0.40931808     0.13299881     
2.8            -1.4222222     2.8622222      0.81222222     0.76277778     0.42831948     0.14724691     
2.81           -1.4266667     2.8888889      0.80888889     0.76333333     0.43237097     0.15520583     
2.82           -1.5377778     3.0755556      0.84888889     0.80888889     0.3575248      0.12521495     
2.83           -1.4844444     2.9866667      0.82777778     0.78611111     0.39111057     0.14260786     
2.84           -1.44          2.88           0.80333333     0.76166667     0.39992065     0.16383412     
2.85           -1.5066667     3.0311111      0.83777778     0.79666667     0.3747943      0.1330457      
2.86           -1.4355556     2.8888889      0.81           0.765          0.40494358     0.15230769     
2.87           -1.48          2.9777778      0.82777778     0.785          0.38236607     0.13907171     
2.88           -1.4088889     2.8177778      0.80111111     0.75277778     0.40162513     0.15416495     
2.89           -1.44          2.8977778      0.82555556     0.77388889     0.39471643     0.1278158      
2.9            -1.48          2.96           0.82666667     0.78333333     0.36604043     0.13786973     
2.91           -1.5244444     3.0844444      0.83555556     0.80111111     0.35923694     0.14152306     
2.92           -1.4266667     2.8533333      0.82111111     0.76722222     0.38372845     0.12739557     
2.93           -1.4444444     2.9244444      0.81444444     0.77055556     0.39046451     0.146397       
2.94           -1.32          2.6933333      0.77111111     0.71888889     0.44006355     0.16908373     
2.95           -1.4444444     2.8888889      0.81222222     0.76722222     0.36884534     0.14578615     
2.96           -1.2622222     2.5777778      0.75555556     0.69666667     0.44949454     0.17000334     
2.97           -1.3377778     2.7288889      0.77888889     0.72722222     0.4259155      0.16236272     
2.98           -1.2977778     2.6311111      0.76888889     0.71111111     0.42650509     0.16096777     
2.99           -1.4177778     2.8355556      0.81444444     0.76166667     0.36932998     0.13156778     
3              -1.5288889     3.0577778      0.83777778     0.80111111     0.32012291     0.13231934     
3.01           -1.3511111     2.7555556      0.78666667     0.73444444     0.41061548     0.15362126     
3.02           -1.4444444     2.9066667      0.81333333     0.76888889     0.35974164     0.14222222     
3.03           -1.3911111     2.8177778      0.80666667     0.75333333     0.38453208     0.13547488     
3.04           -1.2666667     2.5688889      0.74111111     0.68944444     0.41743613     0.18447206     
3.05           -1.2622222     2.5244444      0.76222222     0.69666667     0.40042548     0.15171666     
3.06           -1.3377778     2.6755556      0.78444444     0.72666667     0.37844683     0.14550795     
3.07           -1.2622222     2.6666667      0.75           0.69944444     0.45558541     0.17842924     
3.08           -1.3555556     2.7644444      0.79111111     0.73777778     0.39083892     0.14535193     
3.09           -1.3822222     2.8            0.79           0.74277778     0.37262355     0.15362819     
3.1            -1.3155556     2.6488889      0.77444444     0.71722222     0.38218625     0.15155874     
3.11           -1.4311111     2.8622222      0.81111111     0.76333333     0.3366976      0.13560399     
3.12           -1.3377778     2.7111111      0.77555556     0.72444444     0.37864141     0.15763849     
3.13           -1.4266667     2.8711111      0.80666667     0.76111111     0.34122358     0.14108626     
3.14           -1.4133333     2.8266667      0.80444444     0.75555556     0.33638507     0.13812063     
3.15           -1.3644444     2.8            0.79444444     0.74277778     0.37824796     0.14175975     
3.16           -1.2755556     2.5866667      0.75777778     0.7            0.38440342     0.15920613     
3.17           -1.2666667     2.5688889      0.76           0.69888889     0.3839005      0.15304592     
3.18           -1.2088889     2.4711111      0.72444444     0.66777778     0.39939036     0.17982141     
3.19           -1.3955556     2.8444444      0.79888889     0.75166667     0.35253943     0.14224854     
3.2            -1.3733333     2.8177778      0.80333333     0.74944444     0.36395833     0.130125       
3.21           -1.28          2.5955556      0.75           0.69722222     0.37156299     0.16787816     
3.22           -1.2711111     2.5955556      0.75888889     0.70055556     0.37800706     0.15483629     
3.23           -1.4044444     2.8266667      0.80333333     0.75388889     0.32750337     0.13442036     
3.24           -1.4711111     2.9422222      0.81888889     0.77722222     0.29646941     0.13165828     
3.25           -1.3688889     2.8266667      0.80777778     0.75166667     0.36082741     0.1220452      
3.26           -1.3377778     2.7288889      0.77666667     0.72611111     0.35350954     0.15079755     
3.27           -1.3644444     2.7288889      0.79111111     0.73666667     0.32439478     0.13554725     
