Temperature    Heat Capacity  Susceptibility 
2.26           2.0886079      28.1102        
2.261          2.3384301      74.104919      
2.262          2.1482205      59.34369       
2.263          2.2423284      56.637233      
2.264          2.1850471      61.193192      
2.265          2.2602687      69.753013      
2.266          2.4844137      73.996949      
2.267          2.1896078      43.836525      
2.268          2.2333637      50.604662      
2.269          2.3780274      75.403992      
2.27           2.4374627      91.188608      
2.271          2.3509192      71.420852      
2.272          2.4749459      95.910163      
2.273          2.5145504      118.2653       
2.274          2.5371778      101.55693      
2.275          2.6350149      118.16811      
2.276          2.3263219      56.228257      
2.277          2.5736969      120.17407      
2.278          2.2176216      57.57127       
2.279          2.3311436      82.321727      
2.28           1.9898835      35.240818      
2.281          2.2226841      71.556864      
2.282          2.1184994      72.531752      
2.283          2.3485196      84.867637      
2.284          2.3234173      80.535715      
2.285          2.3509641      89.821883      
2.286          2.4159697      92.864744      
2.287          2.3505981      113.15324      
2.288          2.2078511      93.814777      
2.289          2.2021216      98.255886      
2.29           2.2684263      108.40969      
2.291          2.3211458      110.84415      
2.292          2.1396156      101.60074      
2.293          2.3259204      100.77126      
2.294          2.2764418      108.85011      
2.295          2.2874312      103.75896      
2.296          2.2671356      94.660077      
2.297          2.2094662      109.18424      
2.298          2.0833654      97.761678      
2.299          2.3181359      108.20646      
2.3            1.9632264      103.43269      
2.301          2.1967819      100.70798      
2.302          2.0985585      107.51594      
2.303          1.9730761      97.201759      
2.304          2.0477968      92.191356      
2.305          1.9856289      96.114288      
2.306          2.0399721      109.14368      
2.307          1.9725147      83.109371      
2.308          2.0077587      109.42815      
2.309          1.9084381      72.265998      
2.31           1.9123847      83.091203      
2.311          2.0491964      96.727896      
2.312          1.9401491      98.201375      
2.313          1.8360582      86.407543      
2.314          1.8794525      95.245132      
2.315          1.7727406      77.714904      
2.316          1.7187853      81.378844      
2.317          1.6335439      75.515876      
2.318          1.6275051      76.745578      
2.319          1.7814114      84.066744      
2.32           1.6737574      72.475394      
