Temperature    Heat Capacity  Susceptibility 
2.26           2.2054576      53.095416      
2.261          2.2036903      70.00065       
2.262          2.073514       31.675003      
2.263          2.4639058      93.022737      
2.264          2.8733191      168.30483      
2.265          2.2943827      69.192398      
2.266          2.2788077      69.573588      
2.267          2.2084909      46.591006      
2.268          2.5459477      157.07995      
2.269          2.242882       46.95811       
2.27           2.4912339      100.58585      
2.271          2.4711266      95.917212      
2.272          2.3011678      55.01818       
2.273          2.405036       95.560345      
2.274          2.4175403      97.463638      
2.275          2.7388051      179.31306      
2.276          2.6937703      155.52838      
2.277          2.2769203      88.868862      
2.278          2.1943416      83.642565      
2.279          2.4129308      130.42886      
2.28           2.3524039      125.81135      
2.281          2.5545747      115.23358      
2.282          2.4012764      133.9847       
2.283          2.4409606      126.7978       
2.284          2.4476916      134.85656      
2.285          2.3230498      150.15163      
2.286          2.3997129      116.54138      
2.287          2.5363988      163.94382      
2.288          2.305329       172.65197      
2.289          2.4532399      154.6163       
2.29           2.2086488      151.57724      
2.291          2.2228122      132.54188      
2.292          2.3398329      159.79677      
2.293          2.055919       112.13853      
2.294          2.3370062      156.42314      
2.295          2.1263563      139.3684       
2.296          2.1205222      163.9333       
2.297          2.151588       149.50564      
2.298          2.0401933      136.87318      
2.299          2.2506699      156.14822      
2.3            2.227522       144.44292      
2.301          1.9744415      116.35476      
2.302          1.8685878      127.81126      
2.303          1.8038964      122.98994      
2.304          1.8054635      120.36512      
2.305          2.1674411      137.70096      
2.306          1.8480927      113.82929      
2.307          1.9048288      128.09923      
2.308          1.7973845      110.29001      
2.309          1.9351244      129.51927      
2.31           1.7276259      103.1526       
2.311          1.9488606      126.74206      
2.312          1.6816239      99.722217      
2.313          1.881814       124.922        
2.314          1.8618297      111.89668      
2.315          1.8135927      121.29041      
2.316          1.6743981      90.75965       
2.317          1.7589427      119.95781      
2.318          1.5817854      81.902717      
2.319          1.7312436      99.444732      
2.32           1.6493884      86.781533      
